id,section,text,tip,chapter,region,reward,missable,notes
"mary-03","strangers","Part 3: Final Meeting","Chapter 6. Saint Denis Theater. Make your choice.","6","","","YES",""
"algernon-05","strangers","Request 5: Clamshell/Queen","Final orchids + Dragon's Mouth + 20 more Gator Eggs.","","","","",""
"dragic-03","strangers","Secret: Find the Robot","After several days, visit lab. Robot escaped to mountain peak!","","","Robot encounter","",""
"stranger-oh-brother","strangers","Oh, Brother","👬 Valentine area. Feuding brothers seek treasure. Comedic.","2","","","",""
"stranger-ties-that-bind","strangers","The Ties That Bind Us","⛓️ Near Rhodes. Free chain gang prisoners. Honor mission.","3","","","",""
"stranger-british","strangers","He","🦁 Emerald Ranch. Escaped circus animals (lion, zebra, tiger)!","2","","","",""
"stranger-penelope","strangers","The Course of True Love","💕 Rhodes. Star-crossed lovers Beau and Penelope. 5 parts.","3","","","",""
"stranger-civil-war","strangers","The Iniquities of History","📿 Rhodes. Help former slave recover items. Dark story.","6","","","",""
"stranger-american-inferno","strangers","The American Inferno, Burnt Out","📖 Tanner's Ranch. Famous author Evelyn Miller. Philosophical.","4","","","",""
"stranger-brother-dorkins","strangers","Brothers and Sisters, One and All","⛪ Saint Denis monks. Help with charity. Honor rewards.","4","","","",""
"stranger-fisher-of-fish","strangers","A Fisher of Fish","🎣 Jeremy Gill near Flatneck Station. Catch 13 legendary fish.","2","","","",""
"stranger-mercies-knowledge","strangers","The Mercies of Knowledge","⚡ Saint Denis. Professor wants electric chair test subject. Dark humor.","4","","","",""
"stranger-artist-way","strangers","The Artist","🎨 Saint Denis. Eccentric French artist. Very funny missions.","4","","","",""
"stranger-american-dreams","strangers","American Dreams (Serial Killer)","🔪 Find 3 murder scenes → clues → killer hideout.","2","","","",""
"stranger-fine-night","strangers","A Fine Night For It","🌙 Bayou N of Saint Denis. Strange encounter 10PM-5AM. Supernatural.","2","","","",""
"stranger-wisdom-elders","strangers","The Wisdom of the Elders","🦷 Butcher Creek. Investigate cursed village. Multiple parts.","6","","","",""
"stranger-idealism","strangers","Idealism and Pragmatism for Beginners","🎓 Saint Denis. University professors. Involves Mayor Lemieux.","4","","","",""
"stranger-smoking","strangers","Smoking and Other Hobbies","🃏 Flatneck Station. Phineas Ramsbottom wants 144 cigarette cards!","2","","","",""
"hunt-req-05","strangers","Request 5","📋 Perfect Blue Jay, Crow, Cardinal carcasses","","","","",""
"stranger-suffragette","strangers","A Better World, A New Friend","🗳️ Valentine. Suffragette campaigning for women's vote.","2","","","",""
"stranger-fundraiser","strangers","Fundraiser ⚠️ MISSABLE","⚠️ MISSABLE after Ch6! Saint Denis woman collecting donations.","4","","","YES",""
"stranger-no-good-deed","strangers","No Good Deed","💊 Rhodes. Dr. Alphonse Renaud needs stolen medical supplies.","3","","","",""
"stranger-smell-greasepaint","strangers","The Smell of the Grease Paint","🎪 Van Horn saloon. Circus performers. Multiple funny encounters.","2","","","",""
"stranger-american-inferno-epilogue","strangers","The American Inferno (Epilogue)","📖 Tanner's Ranch. Continue Evelyn Miller's story as John.","epilogue","","","",""
"stranger-all-that-glitters","strangers","All That Glitters","💰 W of Flatneck Station. Buy treasure map ($10) or rob stranger.","2","","","",""
"jack-hall-1","treasures","Map 1: Buy from Maximo","NW of Flatneck Station. Treasure hunter on ridge. $10 (or $5 if haggle).","","","","",""
"jack-hall-2","treasures","Map 2: Caliban","Rock formation south of Valentine. Climb from SE side.","","","","",""
"jack-hall-3","treasures","Map 3: Cotorra Springs","West end of springs. Circle of rock formations. Pearl Necklace bonus.","","","Pearl Necklace","",""
"jack-hall-final","treasures","TREASURE: O","🏆 Small island in lake. Rock on SE side. 2 GOLD BARS!","","","2 Gold Bars ($1000)","YES",""
"high-stakes-1","treasures","Map 1: Save/Rob Stranger","Random encounter after Chapter 3. Man hanging from cliff near Cumberland Falls.","3","","","",""
"high-stakes-2","treasures","Map 2: Cumberland Falls","Behind the waterfall! Climb LEFT side rocks, enter cave.","","","","",""
"high-stakes-3","treasures","Map 3: Barrow Lagoon","Frozen pond NE of Mount Hagen. Under fallen tree on east shore.","","","","",""
"high-stakes-final","treasures","TREASURE: Above Fort Wallace","🏆 Cliff ABOVE fort on east side. DO NOT enter fort! 3 GOLD BARS!","","","3 Gold Bars ($1500)","YES",""
"poison-1","treasures","Map 1: Cairn Lake Cabin","Frozen lake cabin in Ambarino. Map pinned to wall inside.","","","","",""
"poison-2","treasures","Map 2: Face Rock (Facu Rock)","West of Ringneck Creek. Giant face carved in rock. Map in ""mouth"".","","","","",""
"poison-3","treasures","Map 3: Elysian Pool Cave","Cave BEHIND Elysian Pool waterfall! BRING LANTERN. Dangerous bats.","","","","",""
"poison-final","treasures","TREASURE: Lighthouse Area","🏆 North of lighthouse, south of Van Horn. Stone pile near coast. 4 GOLD BARS!","","","4 Gold Bars ($2000)","YES",""
"le-tresor-1","treasures","Map 1: Burned Settlement (Limpany)","Limpany ruins SW of Horseshoe Overlook. Jailhouse corpse has map.","","","","",""
"le-tresor-2","treasures","Map 2: Saint Denis Docks","Cornwall Freight Station underground passage. Check wall near crate.","","","","",""
"le-tresor-final","treasures","TREASURE: Saint Denis Cemetery","🏆 Mausoleum with stained glass, west of central dome. Left wall. 6 GOLD BARS!","","","6 Gold Bars ($3000)","YES",""
"elemental-1","treasures","Tree 1: Window Rock Area","Near Window Rock. Tree with Earth symbol carving.","","","","",""
"elemental-2","treasures","Tree 2: Elysian Pool Area","Near Elysian Pool. Tree with Water symbol.","","","","",""
"elemental-3","treasures","Tree 3: Fort Brennand Area","Near Fort Brennand. Tree with Fire symbol.","","","","",""
"elemental-final","treasures","TREASURE: Mount Shann Sundial","🏆 Summit of Mount Shann. Behind the sundial stone. 2 GOLD BARS!","","","2 Gold Bars ($1000)","YES",""
"landmarks-1","treasures","Map 1: The Obelisk","🏛️ NW of Strawberry, past Owanjila Lake. Check plaque on back of obelisk.","2","","","",""
"landmarks-2","treasures","Map 2: Tiny Church (Lakay)","⛪ Miniature church in Lakay, north of Saint Denis. Climb roof, check bell tower.","2","","","",""
"landmarks-3","treasures","Map 3: Mysterious Hill Home","🏠 ""Hobbit house"" NE of Fort Wallace/Bacchus Station. Check broken window on right side.","2","","","",""
"landmarks-4","treasures","Map 4: Bolger Glade Battlefield","⚔️ Civil War site south of Rhodes, east of Braithwaite Manor. Tree stump on rock near trenches.","2","","","",""
"landmarks-final","treasures","TREASURE: Mount Shann Sundial","🏆 Summit of Mount Shann, north of Strawberry. Under rock at base of sundial. 6 GOLD BARS!","2","","6 Gold Bars ($3000)","YES",""
"mended-1","treasures","Map Half 1: Hermit Cabin (Manito Glade)","North of Annesburg. Aggressive hermit with shotgun!","","","","",""
"mended-2","treasures","Map Half 2: Hermit Woman Cabin","NW West Elizabeth. Follow Little Creek River. Another hostile hermit.","","","","",""
"mended-final","treasures","TREASURE: New Austin (Epilogue)","🏆 ⚠️ EPILOGUE ONLY. Cholla Springs. Otis Miller's Revolver + bonus!","epilogue","","Otis Miller's Revolver","YES",""
"treasure-statues","treasures","Strange Statues Puzzle","🧩 Cave behind Window Rock. Press ONLY prime numbers (2,3,5,7). 3 Gold Bars!","","","3 Gold Bars ($1500)","YES",""
"treasure-train-wreck","treasures","Train Wreck Gold Bar","North of Cotorra Springs. Wrecked train in gorge. Lockbox in baggage car.","","","1 Gold Bar ($500)","",""
"treasure-limpany","treasures","Limpany Sheriff Office Gold Bar","Burned town Limpany. Sheriff desk lockbox. May respawn!","","","1 Gold Bar ($500)","",""
"treasure-braithwaite","treasures","Braithwaite Manor Gold Bar","After manor burns in Chapter 4. Search ruins carefully.","4","","1 Gold Bar ($500)","",""
"explorer-10","challenge-explorer","Rank 10: Discover 25+ Points of Interest","🔍 Full world exploration required. Every region has secrets.","","","","",""
"herbalist-10","challenge-herbalist","Rank 10: Season & Cook 11 Meat Types","🍖 Cook all meat types with oregano/thyme/mint. SEASONED versions count.","","","","",""
"horseman-10","challenge-horseman","Rank 10: Break Every Wild Horse Breed","🐴 Mustang, Nokota, American Paint, Hungarian, Morgan.","","","","",""
"hunter-10","challenge-hunter","Rank 10: Hunt Legendary Panther (Giaguaro) ⭐","🐆 This challenge UNLOCKS the Legendary Panther. Bolger Glade. Extremely dangerous!","","","","YES",""
"survivalist-10","challenge-survivalist","Rank 10: Catch All Fish Species","🎣 All 13 fish types. Different lures for different fish.","","","","",""
